scenario,target_norad,sigma_deg,trial,catalog_size,observation_count,best_norad,best_chi2,best_fit_p_value,best_catalog_match,target_rank,correct_decision
unknown_hard,17070,0.11,4,250,10,62256,1084.83,7.20595e-203,0,-1,1
known_hard,17070,0.11,5,250,10,17070,32.1495,0.736115,1,1,1
unknown_random,17070,0.11,5,249,10,34955,79291.8,0,0,-1,1
unknown_hard,17070,0.11,5,250,10,62256,928.514,3.8748e-170,0,-1,1
known_hard,17070,0.12,1,250,10,17070,24.8676,0.950256,1,1,1
unknown_random,17070,0.12,1,249,10,34955,67864.8,0,0,-1,1
unknown_hard,17070,0.12,1,250,10,62256,790.238,2.27469e-141,0,-1,1
known_hard,17070,0.12,2,250,10,17070,38.2341,0.458853,1,1,1
unknown_random,17070,0.12,2,249,10,34955,67539.6,0,0,-1,1
unknown_hard,17070,0.12,2,250,10,62256,799.644,2.55142e-143,0,-1,1
known_hard,17070,0.12,3,250,10,17070,33.9498,0.65724,1,1,1
unknown_random,17070,0.12,3,249,10,34955,66402.6,0,0,-1,1
unknown_hard,17070,0.12,3,250,10,62256,901.9,1.38191e-164,0,-1,1
known_hard,17070,0.12,4,250,10,17070,27.4068,0.898389,1,1,1
unknown_random,17070,0.12,4,249,10,34955,68115,0,0,-1,1
unknown_hard,17070,0.12,4,250,10,62256,880.654,3.69877e-160,0,-1,1
known_hard,17070,0.12,5,250,10,17070,25.602,0.937768,1,1,1
unknown_random,17070,0.12,5,249,10,34955,67392,0,0,-1,1
unknown_hard,17070,0.12,5,250,10,62256,921.685,1.03169e-168,0,-1,1
known_hard,17070,0.13,1,250,10,17070,50.4822,0.0846841,1,1,1
unknown_random,17070,0.13,1,249,10,34955,56932.3,0,0,-1,1
unknown_hard,17070,0.13,1,250,10,62256,753.756,8.13676e-134,0,-1,1
known_hard,17070,0.13,2,250,10,17070,46.4979,0.162171,1,1,1
unknown_random,17070,0.13,2,249,10,34955,57002.7,0,0,-1,1
unknown_hard,17070,0.13,2,250,10,62256,816.355,8.69593e-147,0,-1,1
known_hard,17070,0.13,3,250,10,17070,38.3097,0.455433,1,1,1
unknown_random,17070,0.13,3,249,10,34955,57316.8,0,0,-1,1
unknown_hard,17070,0.13,3,250,10,62256,707.401,3.03137e-124,0,-1,1
known_hard,17070,0.13,4,250,10,17070,32.6094,0.716596,1,1,1
unknown_random,17070,0.13,4,249,10,34955,57133.8,0,0,-1,1
unknown_hard,17070,0.13,4,250,10,62256,707.667,2.67174e-124,0,-1,1
known_hard,17070,0.13,5,250,10,17070,35.3667,0.591856,1,1,1
unknown_random,17070,0.13,5,249,10,34955,56491.4,0,0,-1,1
unknown_hard,17070,0.13,5,250,10,62256,706.026,5.81923e-124,0,-1,1
known_hard,17070,0.14,1,250,10,17070,52.772,0.0560724,1,1,1
unknown_random,17070,0.14,1,249,10,34955,50102.2,0,0,-1,1
unknown_hard,17070,0.14,1,250,10,62256,607.87,8.1832e-104,0,-1,1
known_hard,17070,0.14,2,250,10,17070,35.1584,0.601567,1,1,1
unknown_random,17070,0.14,2,249,10,34955,49356.7,0,0,-1,1
unknown_hard,17070,0.14,2,250,10,62256,629.531,3.03422e-108,0,-1,1
known_hard,17070,0.14,3,250,10,17070,31.6216,0.757865,1,1,1
unknown_random,17070,0.14,3,249,10,34955,49430,0,0,-1,1
unknown_hard,17070,0.14,3,250,10,62256,779.031,4.77741e-139,0,-1,1
known_hard,17070,0.14,4,250,10,17070,48.3375,0.121479,1,1,1
unknown_random,17070,0.14,4,249,10,34955,49355.9,0,0,-1,1
unknown_hard,17070,0.14,4,250,10,62256,654.338,2.4914e-113,0,-1,1
known_hard,17070,0.14,5,250,10,17070,23.5425,0.9681,1,1,1
unknown_random,17070,0.14,5,249,10,34955,49621.3,0,0,-1,1
unknown_hard,17070,0.14,5,250,10,62256,658.064,4.27983e-114,0,-1,1
known_hard,17070,0.15,1,250,10,17070,34.0204,0.654033,1,1,1
unknown_random,17070,0.15,1,249,10,34955,42803.2,0,0,-1,1
unknown_hard,17070,0.15,1,250,10,62256,583.933,6.27728e-99,0,-1,1
known_hard,17070,0.15,2,250,10,17070,37.4943,0.492667,1,1,1
unknown_random,17070,0.15,2,249,10,34955,42655.4,0,0,-1,1
unknown_hard,17070,0.15,2,250,10,62256,618.026,6.86488e-106,0,-1,1
known_hard,17070,0.15,3,250,10,17070,29.1585,0.8479,1,1,1
unknown_random,17070,0.15,3,249,10,34955,42582.1,0,0,-1,1
unknown_hard,17070,0.15,3,250,10,62256,613.865,4.86977e-105,0,-1,1
known_hard,17070,0.15,4,250,10,17070,15.1669,0.999654,1,1,1
unknown_random,17070,0.15,4,249,10,34955,43239.2,0,0,-1,1
unknown_hard,17070,0.15,4,250,10,62256,575.384,3.46168e-97,0,-1,1
known_hard,17070,0.15,5,250,10,17070,46.9901,0.150397,1,1,1
unknown_random,17070,0.15,5,249,10,34955,43019.1,0,0,-1,1
unknown_hard,17070,0.15,5,250,10,62256,665.124,1.51943e-115,0,-1,1
known_hard,17070,0.16,1,250,10,17070,39.2025,0.415711,1,1,1
unknown_random,17070,0.16,1,249,10,34955,37622.5,0,0,-1,1
unknown_hard,17070,0.16,1,250,10,62256,470.776,4.92578e-76,0,-1,1
known_hard,17070,0.16,2,250,10,17070,50.2631,0.0879646,1,1,1
unknown_random,17070,0.16,2,249,10,34955,37779.2,0,0,-1,1
unknown_hard,17070,0.16,2,250,10,62256,499.52,8.16535e-82,0,-1,1
known_hard,17070,0.16,3,250,10,17070,20.7888,0.989541,1,1,1
unknown_random,17070,0.16,3,249,10,34955,38207.5,0,0,-1,1
unknown_hard,17070,0.16,3,250,10,62256,432.956,1.79261e-68,0,-1,1
known_hard,17070,0.16,4,250,10,17070,49.0174,0.108646,1,1,1
unknown_random,17070,0.16,4,249,10,34955,38070.5,0,0,-1,1
unknown_hard,17070,0.16,4,250,10,62256,469.433,9.16095e-76,0,-1,1
known_hard,17070,0.16,5,250,10,17070,42.4183,0.28629,1,1,1
unknown_random,17070,0.16,5,249,10,34955,37757.1,0,0,-1,1
