orbit_type,target_norad,target_name,mean_motion_rev_day,inclination_deg,eccentricity,catalog_size,sigma_deg,trial,observation_count,target_rank,target_chi2,best_chi2,best_fit_p_value,best_gap_chi2,top1_norad,top1_correct,top3_contains_target,top10_contains_target,runtime_us,runtime_ms
LEO,38761,"CSSWE                   ",15.427,64.6623,0.0053913,500,0,5,10,1,0.0021497,0.0021497,1,6.69773e+09,38761,1,1,1,1698,1.698
LEO,38761,"CSSWE                   ",15.427,64.6623,0.0053913,500,0.05,1,10,1,27.7244,27.7244,0.890132,2.67888e+06,38761,1,1,1,1475,1.475
LEO,38761,"CSSWE                   ",15.427,64.6623,0.0053913,500,0.05,2,10,1,34.3755,34.3755,0.637798,2.68e+06,38761,1,1,1,1811,1.811
LEO,38761,"CSSWE                   ",15.427,64.6623,0.0053913,500,0.05,3,10,1,40.5222,40.5222,0.359681,2.67954e+06,38761,1,1,1,1707,1.707
LEO,38761,"CSSWE                   ",15.427,64.6623,0.0053913,500,0.05,4,10,1,39.9731,39.9731,0.382556,2.6832e+06,38761,1,1,1,1615,1.615
LEO,38761,"CSSWE                   ",15.427,64.6623,0.0053913,500,0.05,5,10,1,26.9583,26.9583,0.909365,2.67775e+06,38761,1,1,1,1568,1.568
LEO,38761,"CSSWE                   ",15.427,64.6623,0.0053913,500,0.1,1,10,1,22.3214,22.3214,0.979861,667762,38761,1,1,1,2033,2.033
LEO,38761,"CSSWE                   ",15.427,64.6623,0.0053913,500,0.1,2,10,1,30.5803,30.5803,0.798402,668926,38761,1,1,1,1550,1.55
LEO,38761,"CSSWE                   ",15.427,64.6623,0.0053913,500,0.1,3,10,1,25.6981,25.6981,0.935987,671573,38761,1,1,1,1462,1.462
LEO,38761,"CSSWE                   ",15.427,64.6623,0.0053913,500,0.1,4,10,1,43.7792,43.7792,0.239579,672774,38761,1,1,1,1489,1.489
LEO,38761,"CSSWE                   ",15.427,64.6623,0.0053913,500,0.1,5,10,1,22.5824,22.5824,0.977683,668066,38761,1,1,1,1610,1.61
LEO,38761,"CSSWE                   ",15.427,64.6623,0.0053913,500,0.25,1,10,1,21.1034,21.1034,0.987944,107976,38761,1,1,1,2168,2.168
LEO,38761,"CSSWE                   ",15.427,64.6623,0.0053913,500,0.25,2,10,1,53.2144,53.2144,0.0516197,107262,38761,1,1,1,1714,1.714
LEO,38761,"CSSWE                   ",15.427,64.6623,0.0053913,500,0.25,3,10,1,44.8659,44.8659,0.206089,106136,38761,1,1,1,1859,1.859
LEO,38761,"CSSWE                   ",15.427,64.6623,0.0053913,500,0.25,4,10,1,57.1711,57.1711,0.0236193,107824,38761,1,1,1,2329,2.329
LEO,38761,"CSSWE                   ",15.427,64.6623,0.0053913,500,0.25,5,10,1,30.6499,30.6499,0.795797,107682,38761,1,1,1,1658,1.658
LEO,38761,"CSSWE                   ",15.427,64.6623,0.0053913,500,0.5,1,10,1,33.5146,33.5146,0.676858,26880.4,38761,1,1,1,1765,1.765
LEO,38761,"CSSWE                   ",15.427,64.6623,0.0053913,500,0.5,2,10,1,29.3726,29.3726,0.840915,26463.6,38761,1,1,1,1844,1.844
LEO,38761,"CSSWE                   ",15.427,64.6623,0.0053913,500,0.5,3,10,1,54.5006,54.5006,0.0403621,25792.8,38761,1,1,1,2239,2.239
LEO,38761,"CSSWE                   ",15.427,64.6623,0.0053913,500,0.5,4,10,1,25.6696,25.6696,0.936519,26223.7,38761,1,1,1,1822,1.822
LEO,38761,"CSSWE                   ",15.427,64.6623,0.0053913,500,0.5,5,10,1,36.4246,36.4246,0.542381,27139.6,38761,1,1,1,1821,1.821
LEO,38761,"CSSWE                   ",15.427,64.6623,0.0053913,500,1,1,10,1,25.9124,25.9124,0.931891,6686.28,38761,1,1,1,1738,1.738
LEO,38761,"CSSWE                   ",15.427,64.6623,0.0053913,500,1,2,10,1,66.6359,66.6359,0.00277566,6762.26,38761,1,1,1,1773,1.773
LEO,38761,"CSSWE                   ",15.427,64.6623,0.0053913,500,1,3,10,1,57.095,57.095,0.0239938,6885.53,38761,1,1,1,1547,1.547
LEO,38761,"CSSWE                   ",15.427,64.6623,0.0053913,500,1,4,10,1,31.1971,31.1971,0.774786,6533.56,38761,1,1,1,1564,1.564
LEO,38761,"CSSWE                   ",15.427,64.6623,0.0053913,500,1,5,10,1,50.1073,50.1073,0.0903605,6548.19,38761,1,1,1,1907,1.907
LEO,38761,"CSSWE                   ",15.427,64.6623,0.0053913,500,1.5,1,10,1,31.9418,31.9418,0.744762,3049.32,38761,1,1,1,1885,1.885
LEO,38761,"CSSWE                   ",15.427,64.6623,0.0053913,500,1.5,2,10,1,46.1124,46.1124,0.171864,2844.14,38761,1,1,1,1561,1.561
LEO,38761,"CSSWE                   ",15.427,64.6623,0.0053913,500,1.5,3,10,1,33.5506,33.5506,0.675245,2929.59,38761,1,1,1,1455,1.455
LEO,38761,"CSSWE                   ",15.427,64.6623,0.0053913,500,1.5,4,10,1,36.1255,36.1255,0.556372,3089.02,38761,1,1,1,1410,1.41
LEO,38761,"CSSWE                   ",15.427,64.6623,0.0053913,500,1.5,5,10,1,36.8776,36.8776,0.521246,3200.43,38761,1,1,1,1860,1.86
LEO,38761,"CSSWE                   ",15.427,64.6623,0.0053913,500,2,1,10,1,39.7918,39.7918,0.390253,1644.89,38761,1,1,1,1480,1.48
LEO,38761,"CSSWE                   ",15.427,64.6623,0.0053913,500,2,2,10,1,45.7074,45.7074,0.182497,1538.35,38761,1,1,1,1582,1.582
LEO,38761,"CSSWE                   ",15.427,64.6623,0.0053913,500,2,3,10,1,39.6399,39.6399,0.396751,1661.27,38761,1,1,1,1488,1.488
LEO,38761,"CSSWE                   ",15.427,64.6623,0.0053913,500,2,4,10,1,29.6643,29.6643,0.831124,1627.67,38761,1,1,1,1429,1.429
LEO,38761,"CSSWE                   ",15.427,64.6623,0.0053913,500,2,5,10,1,29.8535,29.8535,0.824605,1537.45,38761,1,1,1,1411,1.411
LEO,25984,"ORBCOMM FM36            ",14.3913,45.0402,0.0003268,500,0,1,10,1,0.000139154,0.000139154,1,3.27014e+08,25984,1,1,1,17858,17.858
LEO,25984,"ORBCOMM FM36            ",14.3913,45.0402,0.0003268,500,0,2,10,1,0.000139154,0.000139154,1,3.27014e+08,25984,1,1,1,1458,1.458
LEO,25984,"ORBCOMM FM36            ",14.3913,45.0402,0.0003268,500,0,3,10,1,0.000139154,0.000139154,1,3.27014e+08,25984,1,1,1,1419,1.419
LEO,25984,"ORBCOMM FM36            ",14.3913,45.0402,0.0003268,500,0,4,10,1,0.000139154,0.000139154,1,3.27014e+08,25984,1,1,1,1833,1.833
LEO,25984,"ORBCOMM FM36            ",14.3913,45.0402,0.0003268,500,0,5,10,1,0.000139154,0.000139154,1,3.27014e+08,25984,1,1,1,1559,1.559
LEO,25984,"ORBCOMM FM36            ",14.3913,45.0402,0.0003268,500,0.05,1,10,1,17.0413,17.0413,0.998667,132034,25984,1,1,1,1537,1.537
LEO,25984,"ORBCOMM FM36            ",14.3913,45.0402,0.0003268,500,0.05,2,10,1,41.4276,41.4276,0.323496,131043,25984,1,1,1,1446,1.446
LEO,25984,"ORBCOMM FM36            ",14.3913,45.0402,0.0003268,500,0.05,3,10,1,39.488,39.488,0.403293,131908,25984,1,1,1,1422,1.422
LEO,25984,"ORBCOMM FM36            ",14.3913,45.0402,0.0003268,500,0.05,4,10,1,52.5839,52.5839,0.0580632,130686,25984,1,1,1,1471,1.471
LEO,25984,"ORBCOMM FM36            ",14.3913,45.0402,0.0003268,500,0.05,5,10,1,47.9112,47.9112,0.130115,129578,25984,1,1,1,1467,1.467
LEO,25984,"ORBCOMM FM36            ",14.3913,45.0402,0.0003268,500,0.1,1,10,1,41.0029,41.0029,0.340222,33026,25984,1,1,1,1491,1.491
LEO,25984,"ORBCOMM FM36            ",14.3913,45.0402,0.0003268,500,0.1,2,10,1,24.7162,24.7162,0.952592,32579.3,25984,1,1,1,1541,1.541
LEO,25984,"ORBCOMM FM36            ",14.3913,45.0402,0.0003268,500,0.1,3,10,1,42.2826,42.2826,0.291229,33165.9,25984,1,1,1,2164,2.164
LEO,25984,"ORBCOMM FM36            ",14.3913,45.0402,0.0003268,500,0.1,4,10,1,44.5851,44.5851,0.214416,32153.2,25984,1,1,1,1581,1.581
LEO,25984,"ORBCOMM FM36            ",14.3913,45.0402,0.0003268,500,0.1,5,10,1,37.3829,37.3829,0.497809,32969.6,25984,1,1,1,1612,1.612
LEO,25984,"ORBCOMM FM36            ",14.3913,45.0402,0.0003268,500,0.25,1,10,1,48.6123,48.6123,0.116155,5001.56,25984,1,1,1,1440,1.44
LEO,25984,"ORBCOMM FM36            ",14.3913,45.0402,0.0003268,500,0.25,2,10,1,16.5516,16.5516,0.99904,5283.75,25984,1,1,1,1429,1.429
LEO,25984,"ORBCOMM FM36            ",14.3913,45.0402,0.0003268,500,0.25,3,10,1,54.2141,54.2141,0.0426656,5173.53,25984,1,1,1,1414,1.414
LEO,25984,"ORBCOMM FM36            ",14.3913,45.0402,0.0003268,500,0.25,4,10,1,33.5836,33.5836,0.673768,5248.46,25984,1,1,1,1417,1.417
LEO,25984,"ORBCOMM FM36            ",14.3913,45.0402,0.0003268,500,0.25,5,10,1,58.9812,58.9812,0.0161292,5041.09,25984,1,1,1,1780,1.78
LEO,25984,"ORBCOMM FM36            ",14.3913,45.0402,0.0003268,500,0.5,1,10,1,43.636,43.636,0.244245,1437.68,25984,1,1,1,1957,1.957
LEO,25984,"ORBCOMM FM36            ",14.3913,45.0402,0.0003268,500,0.5,2,10,1,26.4757,26.4757,0.920289,1167.62,25984,1,1,1,1757,1.757
LEO,25984,"ORBCOMM FM36            ",14.3913,45.0402,0.0003268,500,0.5,3,10,1,25.2353,25.2353,0.944248,1266.64,25984,1,1,1,1596,1.596
LEO,25984,"ORBCOMM FM36            ",14.3913,45.0402,0.0003268,500,0.5,4,10,1,45.4506,45.4506,0.189481,1346.11,25984,1,1,1,1721,1.721
LEO,25984,"ORBCOMM FM36            ",14.3913,45.0402,0.0003268,500,0.5,5,10,1,66.588,66.588,0.00280825,1250.21,25984,1,1,1,1740,1.74
LEO,25984,"ORBCOMM FM36            ",14.3913,45.0402,0.0003268,500,1,1,10,1,28.9205,28.9205,0.855461,380.496,25984,1,1,1,1635,1.635
LEO,25984,"ORBCOMM FM36            ",14.3913,45.0402,0.0003268,500,1,2,10,1,57.4404,57.4404,0.0223367,322.729,25984,1,1,1,1641,1.641
LEO,25984,"ORBCOMM FM36            ",14.3913,45.0402,0.0003268,500,1,3,10,1,39.8317,39.8317,0.388552,347.905,25984,1,1,1,1696,1.696
LEO,25984,"ORBCOMM FM36            ",14.3913,45.0402,0.0003268,500,1,4,10,1,30.2137,30.2137,0.811845,297.357,25984,1,1,1,1869,1.869
LEO,25984,"ORBCOMM FM36            ",14.3913,45.0402,0.0003268,500,1,5,10,1,38.2442,38.2442,0.458393,279.385,25984,1,1,1,2160,2.16
LEO,25984,"ORBCOMM FM36            ",14.3913,45.0402,0.0003268,500,1.5,1,10,1,22.9883,22.9883,0.973945,144.785,25984,1,1,1,1532,1.532
LEO,25984,"ORBCOMM FM36            ",14.3913,45.0402,0.0003268,500,1.5,2,10,1,41.3073,41.3073,0.328187,174.99,25984,1,1,1,1502,1.502
LEO,25984,"ORBCOMM FM36            ",14.3913,45.0402,0.0003268,500,1.5,3,10,1,65.2518,65.2518,0.0038785,123.602,25984,1,1,1,1419,1.419
LEO,25984,"ORBCOMM FM36            ",14.3913,45.0402,0.0003268,500,1.5,4,10,1,34.9385,34.9385,0.611789,122.514,25984,1,1,1,1406,1.406
LEO,25984,"ORBCOMM FM36            ",14.3913,45.0402,0.0003268,500,1.5,5,10,1,24.8167,24.8167,0.951051,186.575,25984,1,1,1,1579,1.579
LEO,25984,"ORBCOMM FM36            ",14.3913,45.0402,0.0003268,500,2,1,10,1,39.0275,39.0275,0.423398,92.3354,25984,1,1,1,1598,1.598
LEO,25984,"ORBCOMM FM36            ",14.3913,45.0402,0.0003268,500,2,2,10,1,29.3115,29.3115,0.842925,68.6497,25984,1,1,1,1497,1.497
LEO,25984,"ORBCOMM FM36            ",14.3913,45.0402,0.0003268,500,2,3,10,1,43.2124,43.2124,0.258398,97.9256,25984,1,1,1,1977,1.977
LEO,25984,"ORBCOMM FM36            ",14.3913,45.0402,0.0003268,500,2,4,10,1,56.9516,56.9516,0.0247135,65.3689,25984,1,1,1,1566,1.566
LEO,25984,"ORBCOMM FM36            ",14.3913,45.0402,0.0003268,500,2,5,10,1,27.2609,27.2609,0.902047,63.1362,25984,1,1,1,1459,1.459
MEO,68791,"GPS BIII-10 (PRN 13)    ",2.0057,54.9663,0.0004511,500,0,1,10,1,2.70578e-07,2.70578e-07,1,1.15984e+06,68791,1,1,1,20467,20.467
MEO,68791,"GPS BIII-10 (PRN 13)    ",2.0057,54.9663,0.0004511,500,0,2,10,1,2.70578e-07,2.70578e-07,1,1.15984e+06,68791,1,1,1,1583,1.583
MEO,68791,"GPS BIII-10 (PRN 13)    ",2.0057,54.9663,0.0004511,500,0,3,10,1,2.70578e-07,2.70578e-07,1,1.15984e+06,68791,1,1,1,1609,1.609
MEO,68791,"GPS BIII-10 (PRN 13)    ",2.0057,54.9663,0.0004511,500,0,4,10,1,2.70578e-07,2.70578e-07,1,1.15984e+06,68791,1,1,1,1382,1.382
MEO,68791,"GPS BIII-10 (PRN 13)    ",2.0057,54.9663,0.0004511,500,0,5,10,1,2.70578e-07,2.70578e-07,1,1.15984e+06,68791,1,1,1,1316,1.316
MEO,68791,"GPS BIII-10 (PRN 13)    ",2.0057,54.9663,0.0004511,500,0.05,1,10,1,44.54,44.54,0.215774,381.628,68791,1,1,1,1312,1.312
MEO,68791,"GPS BIII-10 (PRN 13)    ",2.0057,54.9663,0.0004511,500,0.05,2,10,1,55.0056,55.0056,0.0365661,551.075,68791,1,1,1,1355,1.355
